[STRESS][x50] Validando estructura...
[STRESS][x50] Estructura valida.
[STRESS][x50] Secciones: 50
[STRESS][x50] Grupos: 250
[STRESS][x50] Docentes: 400
[STRESS][x50] Asignaciones: 2500
[STRESS][x50] Bloques requeridos: 8750
[STRESS][x50] Construyendo modelo CP-SAT...
[STRESS][x50] Modelo construido.
[STRESS][x50] Iniciando solver...
[STRESS][x50] Modo de tiempo: unlimited
[STRESS][x50] Workers: 8
[STRESS][x50][RUNNING] elapsed=1926s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=1956s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=1986s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2016s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2046s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2076s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2106s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2136s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2166s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2196s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2226s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2256s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2286s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2317s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2347s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2377s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2407s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2437s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2467s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2497s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2527s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2557s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2587s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2617s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2647s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2677s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2707s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2737s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2767s | required_blocks=8750 | status=solving | solutions_found=0
[STRESS][x50][RUNNING] elapsed=2797s | required_blocks=8750 | status=solving | solutions_found=0
