instance_type,scenario,run_id,seed,algorithm,required_blocks,assigned_blocks,coverage_rate,unassigned_blocks,status,runtime_seconds,teacher_conflicts,group_conflicts,availability_violations,workload_violations,solver_conflicts,solver_branches,workers,time_limit_seconds,instance_hash_sha256,observation
synthetic,x1,10,10,CP-SAT,175,175,1.0,0,OPTIMAL,1.472427,0,0,0,0,792,41849,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,CP-SAT random_seed=10; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x1_run10_cpsat.log
synthetic,x1,10,10,Greedy,175,175,1.0,0,COMPLETE,0.0582757,0,0,0,0,,,8,,f696aa3d430db2034aaf72c6d03454d762e98120103fe8757ea4e395a2f3495f,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,1,1,CP-SAT,350,350,1.0,0,OPTIMAL,4.522737,0,0,0,0,4920,201325,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=1; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run1_cpsat.log
synthetic,x2,1,1,Greedy,350,350,1.0,0,COMPLETE,0.1252929,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,2,2,CP-SAT,350,350,1.0,0,OPTIMAL,5.759153,0,0,0,0,6651,257658,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=2; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run2_cpsat.log
synthetic,x2,2,2,Greedy,350,350,1.0,0,COMPLETE,0.1229778,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,3,3,CP-SAT,350,350,1.0,0,OPTIMAL,6.270146,0,0,0,0,6556,241123,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=3; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run3_cpsat.log
synthetic,x2,3,3,Greedy,350,350,1.0,0,COMPLETE,0.1521563,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,4,4,CP-SAT,350,350,1.0,0,OPTIMAL,6.785276,0,0,0,0,6724,257713,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=4; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run4_cpsat.log
synthetic,x2,4,4,Greedy,350,350,1.0,0,COMPLETE,0.1389132,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,5,5,CP-SAT,350,350,1.0,0,OPTIMAL,5.395236,0,0,0,0,17970,128138,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=5; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run5_cpsat.log
synthetic,x2,5,5,Greedy,350,350,1.0,0,COMPLETE,0.1224624,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,6,6,CP-SAT,350,350,1.0,0,OPTIMAL,6.377155,0,0,0,0,10564,123252,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=6; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run6_cpsat.log
synthetic,x2,6,6,Greedy,350,350,1.0,0,COMPLETE,0.1523402,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,7,7,CP-SAT,350,350,1.0,0,OPTIMAL,5.9906,0,0,0,0,5997,230723,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=7; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run7_cpsat.log
synthetic,x2,7,7,Greedy,350,350,1.0,0,COMPLETE,0.1298935,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,8,8,CP-SAT,350,350,1.0,0,OPTIMAL,9.872385,0,0,0,0,7643,281030,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=8; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run8_cpsat.log
synthetic,x2,8,8,Greedy,350,350,1.0,0,COMPLETE,0.1372496,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,9,9,CP-SAT,350,350,1.0,0,OPTIMAL,7.464027,0,0,0,0,7447,276508,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=9; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run9_cpsat.log
synthetic,x2,9,9,Greedy,350,350,1.0,0,COMPLETE,0.1404585,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x2,10,10,CP-SAT,350,350,1.0,0,OPTIMAL,5.677232,0,0,0,0,7755,106537,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,CP-SAT random_seed=10; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x2_run10_cpsat.log
synthetic,x2,10,10,Greedy,350,350,1.0,0,COMPLETE,0.1803686,0,0,0,0,,,8,,6f16f0d8fe3316ac7cba79ba1a831f5642f50bd911642e260b887732cd6fac1a,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
synthetic,x5,1,1,CP-SAT,875,875,1.0,0,OPTIMAL,22.581755,0,0,0,0,52231,498522,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,CP-SAT random_seed=1; log=D:\USUARIO EDINSON (no tocar)\Descargas\generador-horarios-final\src\backend-minizinc\resultados\repeated_logs\x5_run1_cpsat.log
synthetic,x5,1,1,Greedy,875,875,1.0,0,COMPLETE,0.3488384,0,0,0,0,,,8,,8181f1d3ecca8be042636c9370e8e703f5241aa0e88512f5b5fe5c6043ce0bc1,Greedy constructivo completo; mismas restricciones principales verificadas; greedy_restarts=20; restarts_used=0; best_restart=0
